개레벌씨다,흉하게 다리를 벌리다,,
개렵다,가렵다,,
개롬하다,갸름하다,,
개롭다,가렵다,,
개룹다,가렵다,,
개릅다,가렵다,,
개리내다,가려내다,,
개리내다,발라내다,,
개리다,가르다,,
개리다,가리다,,
개리다,나쁘다,,
개리매,가리마,,
개리치다,가르치다,,
개리키다,가리키다,,
개마람,마름,,
개마솟,가마솥,,
개막다,개막이하다,,
개막바가치,가맛바가지,,
개맛솟,가마솥,,
개망냉이,개망나니,,
개매솟,가마솥,,
개매솥,가마솥,,
개맷바가치,가맛바가지,,
개맷부삭,부엌,,
개맷솟,가마솥,,
개미,다람쥐,,
개미,가미,,
개미딸,뱀딸기,,
개밋바가치,쇠죽바가지,,
개발디딤,발돋움,,
개밥,송화,,
개밥,개암,,
개밥다,가볍다,,
개방구,소름,,
개배,귀주머니,,
개백젱,개백정,,
개백젱이,개백정,,
개법다,가볍다,,
개벡,개벽,,
개볍다,가볍다,,
개봅다,가볍다,,
개봇하다,가붓하다,,
개분개분,가붓가붓,,
개분허다,개운하다,,
개불,반딧불이,,
개불낭구,괴불나무,,
개붑다,가볍다,,
개붑다,개운하다,,
개붓개붓,가붓가붓,,
개붓다,가볍다,,
개븟다,가볍다,,
개비,값,,
개비,갑,,
개뽄하다,가뿐하다,,
개상,소반,,
개상,개의 암컷과 수컷이 교미하는 일,,
개상기,개상,,
개상줄,자리개,,
개섀끼,개새끼,,
개성,개상,,
개성질,개상질,,
개수박,하눌타리,,
개수어,가숭어,,
개십보지,암쇠,,
개씹보지,암쇠,,
개씹쟁이,눈병에 걸린 사람,,
개아주머니,호주머니,,
개아주머이,호주머니,,
개아쪽,호주머니,,
개아춤,호주머니,,
개아침,호주머니,,
개안하다,개운하다,,
개안허다,개운하다,,
개암감,고욤,,
개압쥐메이,호주머니,,
개앗조마니,호주머니,,
개앗주마니,호주머니,,
개앗주머니,호주머니,,
개앗주미,호주머니,,
개앗쥐메이,호주머니,,
개앗지매,호주머니,,
개앗짐,호주머니,,
개얀하다,개운하다,,
개얌,개암,,
개얌감,고욤,,
개양,그냥,,
개양도랑,봇도랑,,
개언하다,개운하다,,
개엾다,가엾다,,
개오라지,개구리,,
개오리,가오리,,
개오지,개호주,,
개온하다,개운하다,,
개올물,개울물,,
개올창,개울,,
개올창,개골창,,
개옹,개울,,
개와,호주머니,,
개와,주머니,,
개와섹겡,손거울,,
개와주머니,호주머니,,
개와주머이,호주머니,,
개와주먼치,호주머니,,
개와집,기와집,,
개와춤,호주머니,,
개와침,호주머니,,
개완하다,개운하다,,
개왓낭,호주머니,,
개왓장,기왓장,,
개왓조마니,호주머니,,
개왓주마니,호주머니,,
개왓주미,호주머니,,
개왓지매,호주머니,,
개왓지메,호주머니,,
개왓짐,호주머니,,
개우내,바다에 끼는 안개,,
개우다,개다,,
개우랑,개울,,
개우래기,개구리,,
개울창,개골창,,
개웁다,개운하다,,
개웅,갯고랑,,
개원하다,개운하다,,
개음,개암,,
개이,괭이,,
개이,고양이,,
개자운영,토끼풀,,
개잡기,자치기,,
개잡기작대기,자치기를 할 때 쓰는 작은 막대기. 양 끝을 서로 반대 방향으로 비스듬하게 깎아 긴 막대기로 치면 튀어 오르게 만든다,,
개잡기잿대,자치기를 할 때 쓰는 긴 막대기,,
개잡기챗대,자치기를 할 때 쓰는 긴 막대기,,
개잣머리,개좆부리,,
개저꼽자구,감기,,
개점머리,감기,,
개접다,가깝다,,
개젓하다,개운하다,,
개정국,개장국,,
개조버리,감기,,
개조부리,감기,,
개조푸리,감기,,
개좃대가리,개좆부리,,
개좃머리,개좆부리,,
개좆대가리,감기,,
개좆머리,감기,,
개좆버리,감기,,
개좆부리,감기,,
개좆불,감기,,
개주때가리,감기,,
개주뻐리,감기,,
개주뿌리,감기,,
개주뿔,감기,,
개죽다,가깝다,,
개죽잖다,깨끔하지 않다,,
개죽허다,가깝다,,
개줌머리,감기,,
개줍다,가깝다,,
개지꼽자구,감기,,
개지럴,개지랄,,
개지뻐리,감기,,
개지뿌데기,감기,,
개지뿌리,감기,,
개지삐리,감기,,
개직다,가깝다,,
개진달래,철쭉,,
개진달리,철쭉,,
개짐머리,감기,,
개찬허다,괜찮다,,
개찮다,괜찮다,,
개찰하다,고치다,,
개찹다,가깝다,,
개창,바닷가,,
개창나다,맞아서 초주검이 되다,,
개첩다,가깝다,,
개추머니,호주머니,,
개출가,바닷가,,
개춤,호주머니,,
개치,까투리,,
개침,주머니,,
개컬보기,개컬뜨기,,
개탕지다,판가름하다,,
개터럭,솜털,,
개통이,교통,,
개트다,어패류나 해조류를 일정 기간 길러서 한꺼번에 잡기 위해 마을 공동으로 출입을 금지했던 바다를 개방하다,,
개팔,개가 끄는 썰매,,
개펭,개평,,
개포도,머루,,
개포래,이끼,,
개포래,해파리,,
개포리,해파리,,
개푸닥허다,가붓하다,,
개풋하다,가붓하다,,
개풋허다,가붓하다,,
개픈개픈,가뿟가뿟,,
개픈하다,가뿐하다,,
개픈허다,가뿟하다,,
개핫주머니,호주머니,,
개흑,진흙,,
객기,각기,,
객기,각기,,
갠소롬허다,가느스름하다,,
갠신이,간신히,,
갠엿,갱엿,,
갠이,공연히,,
갠잔주럼하다,간잔지런하다,,
갠잔주롬하다,간잔지런하다,,
갠잔주름하다,간잔지런하다,,
갠잔즈럼하다,간잔지런하다,,
갠잔즈롬하다,간잔지런하다,,
갠잔즈름하다,간잔지런하다,,
갠잔지럼하다,간잔지런하다,,
갠잔지롬하다,간잔지런하다,,
갠잔지름하다,간잔지런하다,,
갠지람믹이다,간질이다,,
갠지랍다,가렵다,,
갠지랍다,간지럽다,,
갠지랍밥믹이다,간질이다,,
갠지랍시키다,간질이다,,
갠지랍히다,간질이다,,
갠지럼,간지럼,,
갠지럽다,가렵다,,
갠지럽다,간지럽다,,
갠지롭히다,간질이다,,
갠지룹다,간지럽다,,
갠질밥믹이다,간질이다,,
갠찬허다,괜찮다,,
갠찮다,괜찮다,,
갠침허다,괜찮다,,
갤비뼈,갈비뼈,,
갤상갤상허다,호리호리하다,,
갤차다,가르치다,,
갤창,개울,,
갤채다,가르치다,,
갤추다,가르치다,,
갤추다,가리키다,,
